loan_type,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,applicant_age,loan_amount_requested
4,1,21300,666,4900,0.23,1,37,582000
4,2,42800,693,800,0.0187,1,40,608000
2,1,34500,776,2700,0.0783,1,56,770000
0,5,62200,710,2600,0.0418,1,24,208000
4,2,62900,675,2800,0.0445,1,56,441000
3,0,59900,704,0,0.0,1,57,111000
0,2,12700,617,3400,0.2677,2,63,735000
1,2,55200,677,2300,0.0417,0,41,525000
2,1,51500,659,5100,0.099,1,48,650000
1,3,27500,674,1200,0.0436,2,55,336000
4,5,15000,767,3300,0.22,2,49,503000
1,0,23500,781,3200,0.1362,1,44,457000
3,4,35100,651,1800,0.0513,1,30,821000
0,5,39000,781,4900,0.1256,0,38,875000
3,1,55000,719,5300,0.0964,0,33,995000
4,5,91100,781,3500,0.0374,1,53,993000
3,1,33500,680,3500,0.1045,1,24,141000
4,1,58500,760,400,0.0068,0,45,437000
2,0,85800,705,5100,0.0594,0,24,763000
3,3,60200,646,4500,0.0748,2,36,392000
0,1,28400,722,2700,0.0951,0,52,367000
4,1,50900,692,500,0.0098,0,53,635000
1,4,50400,649,400,0.0079,2,63,593000
1,4,50800,752,1500,0.0295,2,29,316000
3,4,46200,699,6300,0.1494,0,49,444000
3,3,68100,679,4500,0.0661,2,47,787000
2,3,34800,704,2400,0.069,2,37,516000
3,3,26200,759,0,0.0,2,23,112000
4,5,37800,756,5100,0.1349,2,50,490000
2,1,13400,670,2700,0.2014999999999999,2,37,818000
2,3,15400,718,600,0.039,1,37,695000
0,2,59200,748,3000,0.0507,2,58,287000
2,5,26800,749,6100,0.2276,1,63,299000
1,0,37400,721,2800,0.0749,0,38,995000
3,1,54300,684,2300,0.0424,2,43,889000
4,4,17500,746,0,0.0,2,61,718000
2,5,27900,699,0,0.0,0,63,719000
1,4,73400,726,6200,0.0844999999999999,0,52,402000
1,5,44600,665,3000,0.0673,0,59,552000
3,2,79600,688,3400,0.0426999999999999,1,37,157000
3,5,20800,710,1900,0.0913,1,35,700000
4,0,46300,671,6300,0.1382,0,30,563000
2,0,61800,617,2700,0.0437,2,40,100000
1,2,39100,763,4300,0.11,0,29,953000
3,3,72500,647,4300,0.0593,0,28,995000
3,4,90000,746,2300,0.0256,1,51,100000
1,1,65600,720,400,0.0060999999999999,2,39,351000
0,1,64500,747,5700,0.0883999999999999,1,37,673000
1,1,47000,661,600,0.0128,1,41,318000
1,1,22700,652,1600,0.0705,1,49,304000
4,2,48900,679,5200,0.1063,1,51,821000
0,1,62700,723,1500,0.0239,1,48,513000
1,2,10000,709,3500,0.35,2,30,995000
1,4,26400,671,0,0.0,0,47,472000
3,5,18000,647,2500,0.1389,0,32,820000
4,0,91100,708,1600,0.0165,1,60,434000
4,3,70300,728,5300,0.0754,0,63,750000
3,3,19400,761,2400,0.1236999999999999,0,63,603000
1,2,53400,716,4600,0.0861,0,27,714000
3,3,57500,781,2400,0.0417,2,30,318000
0,3,55400,652,5000,0.0902999999999999,2,40,621000
1,5,83800,628,2200,0.0263,1,45,206000
0,4,41700,759,4100,0.0983,1,23,238000
1,5,69100,665,4300,0.0622,1,31,726000
4,2,30600,683,500,0.0163,2,48,544000
4,3,45400,742,4400,0.0969,0,42,672000
3,1,36800,617,4500,0.1223,2,44,627000
2,0,50000,706,2800,0.0559999999999999,2,32,477000
0,3,10000,722,3800,0.38,2,29,100000
4,2,63700,684,1400,0.022,1,44,100000
2,3,77500,733,3300,0.0426,0,47,351000
0,1,28000,781,1500,0.0536,0,41,591000
4,1,19700,764,5200,0.264,2,25,375000
1,0,33600,719,1700,0.0506,2,34,995000
2,0,31300,669,1500,0.0479,1,27,705000
0,5,43600,728,2600,0.0596,2,46,664000
4,5,32500,675,5000,0.1538,2,36,578000
3,0,22300,750,2700,0.1211,1,48,731000
4,1,48400,742,2300,0.0475,1,30,132000
4,3,24000,642,800,0.0333,0,41,615000
0,2,13500,716,200,0.0148,2,46,973000
2,5,64600,689,1800,0.0279,0,61,309000
1,3,16400,715,3800,0.2317,0,39,492000
0,5,31900,781,2400,0.0751999999999999,0,27,995000
1,2,27600,664,1800,0.0652,2,32,307000
4,5,75600,730,6300,0.0886,2,35,822000
0,2,55500,773,100,0.0018,2,23,313000
3,2,51800,652,0,0.0,0,29,995000
4,3,56200,743,1800,0.032,2,63,811000
4,5,74500,632,6300,0.0966,2,48,503000
2,2,10000,665,2100,0.21,2,51,850000
4,0,75000,736,2900,0.0387,2,60,756000
3,3,67800,707,3200,0.0472,1,54,261000
3,0,72700,666,4500,0.0619,2,38,527000
3,5,48000,662,2200,0.0458,2,28,281000
1,2,50700,689,0,0.0,1,23,668000
0,0,66700,643,3200,0.048,0,40,100000
4,3,53100,672,2700,0.0508,0,28,583000
1,4,91100,620,4300,0.0418,0,39,713000
4,3,33000,726,4400,0.1333,0,48,302000
2,4,91100,762,3200,0.0311,0,58,509000
3,0,56500,702,2300,0.0407,0,42,225000
4,5,64500,735,3900,0.0605,2,55,726000
2,5,12500,781,2800,0.2239999999999999,1,23,100000
2,2,81200,781,1300,0.016,0,46,272000
3,0,77700,723,2800,0.036,1,33,855000
2,3,15000,750,2400,0.16,0,47,463000
4,2,10000,781,5200,0.52,1,59,203000
0,1,43100,736,3500,0.0812,1,31,384000
3,3,43300,760,0,0.0,1,41,406000
1,0,14600,692,6300,0.5274,2,62,611000
2,3,10000,744,3300,0.33,0,29,620000
0,4,63300,661,3100,0.049,0,57,658000
0,2,77800,734,2700,0.0347,2,59,492000
2,3,46200,706,4000,0.0866,2,24,620000
2,2,65800,668,500,0.0076,2,51,861000
0,1,77800,617,5100,0.0655999999999999,2,53,797000
3,2,72900,679,0,0.0,1,32,301000
0,3,28500,729,2800,0.0982,0,26,207000
0,5,72500,657,5900,0.0814,1,47,322000
2,3,69300,692,2700,0.039,0,62,434000
4,3,43000,704,4800,0.1116,2,54,329000
2,4,36100,617,2200,0.0608999999999999,1,29,514000
1,0,62800,672,0,0.0,1,29,479000
3,5,47500,730,2300,0.0484,0,49,510000
2,2,39700,700,4500,0.1134,0,59,792000
3,0,33800,677,3800,0.1124,0,45,759000
0,5,32000,698,1700,0.0530999999999999,1,50,400000
3,4,73500,701,2300,0.0313,2,47,528000
3,4,11500,699,2300,0.2,2,31,269000
4,0,62800,713,6300,0.1018999999999999,1,55,137000
1,0,45300,633,3800,0.0839,2,58,628000
2,0,29600,705,5900,0.1993,2,63,293000
4,5,61800,629,1800,0.0291,1,48,100000
0,0,57600,752,3100,0.0538,0,40,342000
2,0,89800,626,4700,0.0523,1,62,247000
0,5,10400,715,3000,0.2885,1,36,100000
1,3,82200,654,3600,0.0438,1,63,302000
2,0,33100,697,2500,0.0755,1,56,709000
3,2,40500,698,4500,0.1110999999999999,1,27,593000
1,5,61500,717,4000,0.065,1,23,497000
2,5,47500,754,1400,0.0295,2,63,346000
4,5,39300,723,3700,0.0941,2,27,263000
4,0,70600,776,1000,0.0141999999999999,1,38,995000
2,2,71900,687,1200,0.0167,1,50,452000
3,2,43000,688,4500,0.1047,2,23,493000
2,1,74100,677,300,0.004,0,41,740000
3,1,50300,683,4500,0.0895,1,32,585000
2,0,75200,675,2600,0.0346,1,60,503000
3,1,20100,781,1400,0.0697,0,63,927000
2,1,83700,715,3500,0.0418,2,55,100000
3,0,26000,694,2600,0.1,1,58,829000
1,0,14400,728,4100,0.2847,2,58,176000
4,3,39800,695,3200,0.0803999999999999,0,41,623000
2,0,39200,681,5000,0.1276,2,55,349000
1,5,37100,711,5400,0.1456,0,27,877000
0,1,91100,725,4000,0.0407,2,31,439000
4,3,17000,688,2300,0.1353,0,43,480000
0,3,64400,740,500,0.0078,1,27,636000
3,2,71900,723,400,0.0056,0,25,686000
4,0,71200,729,5700,0.0801,2,53,624000
3,2,42600,712,5100,0.1197,1,42,100000
4,0,86500,727,2800,0.0324,0,31,776000
2,1,15900,689,3400,0.2138,1,40,995000
1,2,57800,702,2700,0.0467,2,44,532000
2,0,49200,742,2800,0.0569,1,52,630000
1,1,31800,724,5000,0.1572,0,60,814000
2,3,67200,773,2600,0.0387,1,59,642000
4,2,31300,765,2500,0.0799,2,63,230000
1,4,10000,669,2600,0.26,1,59,313000
1,5,43600,698,5300,0.1216,2,33,495000
0,1,13000,657,700,0.0538,1,23,707000
4,1,23100,781,3600,0.1558,1,43,891000
1,2,39000,692,4200,0.1076999999999999,2,53,456000
0,2,25400,702,6300,0.3189,1,54,297000
4,3,57600,624,5600,0.0972,2,63,315000
0,3,33800,740,4900,0.145,1,38,874000
0,1,34400,617,1700,0.0494,2,23,581000
3,5,53700,781,800,0.0149,2,27,510000
3,3,44000,738,4700,0.1067999999999999,1,41,608000
0,0,32300,714,2900,0.0898,1,44,557000
0,1,50700,639,2700,0.0533,1,26,100000
4,4,10000,661,4000,0.4,0,39,423000
4,3,48500,617,900,0.0186,0,63,922000
2,4,59400,651,4200,0.0707,2,54,361000
1,5,39200,745,4000,0.102,1,63,661000
3,0,33800,716,5600,0.1657,2,31,292000
1,3,25200,706,2400,0.0951999999999999,0,44,655000
3,5,40500,695,1100,0.0272,1,33,288000
3,0,58400,713,4900,0.0839,0,55,326000
3,4,74000,756,3000,0.0405,0,27,995000
2,4,48100,714,2200,0.0457,0,39,906000
4,4,79800,722,700,0.0088,0,46,459000
1,5,38500,737,3100,0.0805,1,23,246000
2,5,28500,683,500,0.0175,2,26,310000
4,5,69300,698,2300,0.0332,1,41,584000
1,3,75800,683,4400,0.0579999999999999,2,63,774000
4,0,29000,741,4200,0.1448,0,36,418000
1,1,53400,744,3400,0.0637,1,58,271000
1,3,24600,699,1700,0.0691,0,45,927000
2,2,42100,617,0,0.0,2,31,489000
1,4,91100,617,4800,0.0507,2,42,100000
3,1,42300,707,1800,0.0426,2,38,995000
4,5,71500,629,5900,0.0825,2,23,551000
4,1,40300,721,5100,0.1266,0,59,413000
0,5,34000,617,5100,0.15,2,38,584000
2,0,36000,718,500,0.0139,1,48,193000
2,5,68300,764,2100,0.0306999999999999,0,41,524000
3,4,47500,738,5700,0.12,2,27,367000
1,3,53500,664,6300,0.1364,1,42,995000
3,0,85500,678,2900,0.0339,1,38,240000
4,4,73600,781,4300,0.0584,1,53,249000
0,1,69000,781,2900,0.042,2,44,885000
4,2,10000,677,2600,0.26,0,28,338000
1,5,62200,781,5600,0.09,1,24,315000
2,1,40200,755,5700,0.1418,0,49,235000
2,0,50100,644,1900,0.0379,1,40,721000
3,1,32500,710,4600,0.1415,0,58,100000
0,4,46000,744,5600,0.1217,1,34,701000
0,5,27800,711,0,0.0,0,39,100000
3,4,42000,707,2600,0.0619,0,49,542000
1,4,30300,683,5800,0.1914,1,58,412000
2,1,51400,732,5100,0.0992,0,63,806000
3,2,28500,727,2700,0.0947,0,62,420000
1,3,63500,732,0,0.0,1,48,171000
4,0,14000,694,5400,0.3857,1,35,557000
0,0,59300,710,5800,0.0978,1,29,560000
3,0,28800,690,6300,0.2603999999999999,1,55,364000
1,0,91100,736,2500,0.0225,2,52,114000
3,0,34900,706,3000,0.086,0,36,429000
3,0,10000,646,3900,0.39,2,55,718000
1,2,48700,685,1700,0.0349,0,23,343000
1,3,70300,739,4800,0.0683,1,63,100000
1,4,48400,758,6300,0.1467,0,35,133000
1,1,91100,629,800,0.0087,2,24,929000
0,2,79300,635,4200,0.053,0,52,501000
1,1,42400,666,4100,0.0967,2,62,625000
3,5,63800,691,4100,0.0643,2,62,246000
0,2,33500,627,0,0.0,2,29,829000
1,4,91100,781,6300,0.0688,1,62,371000
3,0,58700,670,4100,0.0698,0,63,425000
3,4,49600,672,3700,0.0746,1,37,839000
3,3,45300,734,1700,0.0375,2,62,494000
3,3,71800,690,3800,0.0529,1,23,337000
1,4,33000,761,4200,0.1273,1,36,489000
4,2,35700,730,2100,0.0588,1,42,751000
1,4,44400,676,4800,0.1081,0,30,995000
2,2,50800,631,4600,0.0906,0,45,686000
0,0,60100,715,3900,0.0649,0,52,852000
0,5,53300,683,4400,0.0825999999999999,2,31,155000
3,1,43000,778,3000,0.0698,0,34,390000
1,3,47900,617,6300,0.1524,0,52,100000
2,1,91100,737,3400,0.031,1,52,337000
2,3,52300,726,3000,0.0574,0,30,631000
1,1,91100,643,6300,0.0769,1,51,921000
1,4,46200,694,3700,0.0801,0,59,100000
2,0,91100,652,3500,0.0275,1,42,446000
0,1,51000,646,2900,0.0569,2,28,995000
2,5,86600,670,2700,0.0312,2,44,684000
3,3,73900,658,5900,0.0798,1,40,246000
3,4,77300,702,2000,0.0259,2,58,100000
0,2,73500,753,3300,0.0449,2,63,560000
1,4,91100,763,4900,0.0535,2,23,961000
0,1,72600,675,5300,0.073,1,38,100000
1,5,55400,660,3000,0.0542,0,62,675000
4,1,84700,622,4800,0.0567,0,50,100000
1,5,45200,691,500,0.0111,2,31,295000
0,3,63600,754,3000,0.0472,2,44,302000
1,2,57300,702,1100,0.0192,2,35,549000
2,1,10000,781,1300,0.13,1,42,720000
0,1,34400,724,6300,0.186,1,23,582000
4,4,34100,661,2800,0.0821,0,62,442000
4,1,70600,691,1400,0.0197999999999999,2,57,987000
4,4,52800,685,0,0.0,1,23,653000
2,2,35300,697,5400,0.153,0,58,392000
3,1,79400,703,6300,0.0894,1,31,565000
0,0,53000,684,200,0.0038,2,23,925000
2,5,42900,761,4000,0.0932,0,36,145000
4,0,42200,675,600,0.0141999999999999,1,35,441000
1,5,64100,681,4900,0.0764,2,53,522000
2,1,48700,683,4600,0.0944999999999999,2,58,833000
0,1,76100,720,5600,0.0736,0,33,100000
3,2,39900,741,1300,0.0326,2,50,277000
3,4,10000,674,2600,0.26,0,42,107000
3,4,17300,723,0,0.0,2,25,341000
1,5,51200,671,4700,0.0917999999999999,2,37,489000
3,0,34400,708,2500,0.0727,1,49,848000
0,2,64000,620,6000,0.0938,1,41,995000
0,5,60600,687,1600,0.0264,0,36,244000
1,2,39700,724,800,0.0202,2,59,779000
1,5,17200,723,4300,0.25,2,55,221000
4,5,91100,721,2400,0.0249,1,38,995000
4,4,63500,705,1000,0.0157,1,23,431000
3,5,47000,715,1600,0.034,0,51,200000
1,5,64700,665,4100,0.0634,2,56,294000
4,0,77600,758,3700,0.0476999999999999,0,63,634000
1,3,68200,634,6300,0.0968,0,33,418000
4,1,60300,716,200,0.0033,0,61,995000
0,0,52000,689,3300,0.0635,0,37,539000
4,1,59100,702,4900,0.0828999999999999,1,34,516000
0,5,78400,764,4300,0.0548,2,63,902000
2,1,59200,617,2200,0.0372,1,56,142000
3,1,91100,756,1300,0.0136,2,42,297000
4,0,75900,716,5500,0.0725,1,55,410000
0,0,49500,720,2600,0.0525,2,57,503000
3,4,59400,646,2800,0.0471,1,53,751000
1,0,78500,617,3200,0.0408,0,36,937000
3,2,91100,762,4300,0.0344,2,30,678000
2,3,81900,718,3800,0.0464,0,24,995000
2,0,91100,617,2500,0.023,2,63,299000
0,4,17300,698,4500,0.2601,1,41,426000
2,2,79600,654,4200,0.0528,2,37,285000
3,1,34700,781,5000,0.1441,1,28,624000
1,1,25300,682,4900,0.1937,2,59,863000
2,3,63900,673,4500,0.0704,2,57,911000
2,5,21100,781,4300,0.2037999999999999,0,45,487000
2,1,74400,740,2200,0.0296,2,55,637000
2,1,70000,675,2500,0.0356999999999999,1,59,995000
4,4,67300,692,1500,0.0223,1,24,512000
3,1,88700,717,2600,0.0293,2,56,224000
1,4,14800,684,6100,0.4122,1,55,222000
0,3,45800,666,700,0.0153,1,56,314000
3,0,10000,700,5000,0.5,0,48,114000
1,0,74900,732,1100,0.0147,0,46,576000
3,3,48800,730,2700,0.0553,0,54,369000
2,4,29100,658,4800,0.1649,2,33,489000
4,0,50000,665,3800,0.076,2,32,494000
3,5,51200,669,3900,0.0762,1,37,648000
0,0,78300,659,4700,0.06,2,41,853000
0,5,81000,667,300,0.0037,0,43,445000
2,1,57700,688,3200,0.0555,0,41,995000
3,3,36800,619,5700,0.1549,0,38,772000
4,2,88500,721,2400,0.0271,0,24,100000
4,1,44700,752,4400,0.0984,0,49,100000
4,3,80800,690,6300,0.0866,0,26,185000
3,5,10000,617,2100,0.21,1,46,509000
1,3,66800,776,800,0.012,2,39,138000
1,1,19200,732,2700,0.1406,0,31,307000
1,3,86200,679,0,0.0,0,57,278000
2,4,53300,757,2600,0.0487999999999999,2,36,684000
0,0,45300,656,1700,0.0375,0,58,595000
4,4,45800,706,5000,0.1092,2,23,988000
0,1,55100,621,3000,0.0544,0,23,660000
1,1,29100,748,4200,0.1442999999999999,2,44,414000
3,4,77600,624,3800,0.049,1,47,339000
3,0,29400,701,1500,0.051,1,23,589000
2,5,38800,689,2200,0.0567,2,56,458000
3,5,79600,690,4000,0.0503,0,56,341000
1,4,43300,762,0,0.0,1,29,282000
1,3,82700,652,2200,0.0266,2,59,365000
1,4,82900,749,6300,0.0808,0,25,891000
0,0,38400,635,0,0.0,0,28,384000
0,0,34400,714,4100,0.1192,1,32,662000
1,5,49400,685,6300,0.1498,1,45,718000
4,1,61600,662,2300,0.0373,0,42,650000
1,5,56000,721,4100,0.0732,0,60,995000
1,5,38700,762,1800,0.0465,0,35,955000
2,4,51400,726,1100,0.0214,2,59,623000
4,1,60300,619,2400,0.0398,2,41,721000
2,2,41900,617,3800,0.0907,0,41,750000
2,1,50700,709,700,0.0138,0,26,201000
0,4,65200,661,1600,0.0245,0,33,284000
0,2,60000,617,3000,0.05,2,52,600000
2,4,91100,759,2500,0.026,2,54,413000
2,3,91100,742,5300,0.054,1,37,100000
0,5,42900,640,1700,0.0395999999999999,2,51,289000
4,1,10000,639,5900,0.59,2,40,169000
1,4,84800,710,4800,0.0566,2,52,379000
2,1,84700,686,6300,0.0756,2,30,100000
3,0,68200,741,1600,0.0235,1,63,596000
2,2,33700,667,2300,0.0682,2,61,995000
4,5,64400,655,5600,0.087,1,48,100000
2,4,43000,699,1400,0.0326,1,52,364000
2,3,91100,757,5900,0.0636,1,30,699000
3,4,24800,648,2400,0.0968,0,56,830000
0,1,65000,668,200,0.0031,2,33,206000
3,0,57200,692,300,0.0052,1,23,960000
4,4,55000,721,3300,0.06,2,29,100000
3,2,41600,698,1100,0.0264,0,61,100000
2,3,38400,657,3300,0.0859,1,63,448000
2,2,63700,669,800,0.0126,1,51,448000
1,2,83800,781,3000,0.0358,0,53,865000
3,5,36800,720,3700,0.1005,1,37,645000
3,0,18200,756,4600,0.2527,1,36,230000
4,1,23800,765,300,0.0126,1,48,699000
2,0,54500,617,500,0.0092,1,31,558000
2,2,39700,741,6300,0.1637,1,37,908000
1,3,10000,781,6300,0.66,2,28,707000
1,4,55100,669,0,0.0,0,63,258000
2,5,45900,617,1200,0.0260999999999999,1,28,995000
4,0,58200,700,2200,0.0378,2,24,816000
4,2,64200,727,2400,0.0374,1,57,220000
1,3,42700,697,3300,0.0773,0,29,430000
3,5,63900,761,4900,0.0767,0,54,470000
3,1,82800,781,1300,0.0157,0,50,272000
1,0,16100,653,2000,0.1242,1,61,676000
2,4,88300,687,4000,0.0453,2,35,315000
1,0,36000,672,5000,0.1389,2,61,100000
3,5,44000,685,2100,0.0476999999999999,2,58,679000
2,4,65900,749,3000,0.0455,0,50,440000
2,5,66900,703,3200,0.0478,0,34,744000
1,4,20700,705,2300,0.1110999999999999,1,40,403000
1,3,23600,627,0,0.0,0,51,163000
3,5,68800,710,3100,0.0451,0,63,320000
1,0,81800,680,5500,0.0672,1,61,340000
4,2,69300,712,2900,0.0418,2,28,458000
0,2,67200,710,6300,0.0938,1,62,741000
3,0,40600,697,2900,0.0713999999999999,0,23,115000
0,1,72700,727,5600,0.077,0,34,319000
3,3,32400,679,1900,0.0586,2,63,315000
3,1,77300,690,0,0.0,0,40,524000
2,2,33600,671,0,0.0,0,63,419000
3,0,59500,727,3300,0.0555,0,29,263000
2,0,25900,647,0,0.0,1,52,488000
0,2,10000,691,1800,0.18,2,42,751000
1,5,32000,659,1300,0.0406,2,63,188000
3,4,77500,693,1700,0.0219,2,50,906000
2,4,86000,731,4400,0.0512,2,63,231000
1,3,91100,705,1900,0.0200999999999999,2,46,100000
4,5,18500,649,1700,0.0919,2,29,851000
4,2,46600,781,1100,0.0236,0,55,445000
2,3,57000,726,600,0.0105,2,54,484000
0,1,63700,704,3300,0.0518,1,42,635000
3,0,68200,664,100,0.0015,2,23,376000
3,1,21800,661,2000,0.0917,2,37,363000
4,4,60600,655,2200,0.0363,2,63,100000
3,3,63800,686,6300,0.1301,0,60,669000
2,3,61800,735,3000,0.0484999999999999,0,63,766000
3,4,18900,728,3400,0.1798999999999999,2,44,100000
0,2,34300,629,2700,0.0787,0,38,464000
4,4,91100,667,5600,0.051,0,59,995000
0,2,24700,765,4500,0.1822,0,63,717000
0,3,38300,764,2100,0.0548,1,32,567000
1,0,52400,642,3300,0.063,0,56,489000
0,2,43900,690,4900,0.1116,2,25,684000
1,1,46900,630,3900,0.0832,2,30,609000
0,2,78000,674,6300,0.0897,2,31,507000
4,2,54600,718,3600,0.0659,1,44,353000
3,4,39100,633,3600,0.0921,0,32,510000
2,2,58300,636,3600,0.0617,0,29,682000
4,5,45600,668,0,0.0,0,58,226000
2,2,39100,640,3700,0.0946,0,61,995000
1,1,57800,756,0,0.0,0,42,629000
3,2,91100,617,2300,0.0243999999999999,2,40,711000
2,0,46500,748,800,0.0172,2,62,692000
1,5,10000,756,5500,0.55,0,47,112000
3,4,19300,719,2900,0.1503,1,63,762000
1,0,10200,684,300,0.0294,2,36,666000
2,1,60700,732,4700,0.0774,1,47,714000
0,1,10000,714,3300,0.33,0,25,255000
3,0,68400,727,6300,0.0965,0,45,804000
4,5,40600,756,2200,0.0542,2,60,336000
2,3,39700,671,1500,0.0378,0,29,100000
4,4,49000,702,2300,0.0469,0,63,535000
4,1,66900,725,2700,0.0404,2,63,417000
3,4,88700,731,4000,0.0451,0,39,155000
0,2,37700,777,2300,0.061,0,60,544000
0,0,62200,617,2700,0.0434,2,41,389000
2,5,79700,695,4100,0.0513999999999999,2,52,100000
4,1,68900,766,3000,0.0435,1,53,100000
0,1,55600,733,3100,0.0558,1,54,995000
0,0,29900,736,6300,0.2542,1,62,338000
2,3,10000,714,3200,0.32,2,32,989000
4,0,28500,688,2100,0.0737,0,57,365000
4,4,14800,736,3600,0.2432,2,46,467000
1,2,52400,765,1800,0.0344,1,54,485000
0,2,27700,617,4900,0.1769,1,43,390000
3,1,67900,743,700,0.0103,2,59,100000
3,0,91100,712,1200,0.0121999999999999,0,60,585000
3,2,21300,634,2700,0.1268,1,57,486000
3,5,20000,728,0,0.0,1,23,625000
4,3,10000,688,2800,0.28,2,33,779000
0,1,60300,626,1900,0.0315,0,41,379000
0,4,59300,715,4400,0.0742,2,53,951000
3,5,22400,666,2100,0.0938,0,40,545000
3,5,55600,707,3300,0.0594,1,28,561000
4,0,10800,617,2900,0.2685,1,40,767000
3,0,10000,669,2300,0.23,1,63,100000
0,5,52000,721,900,0.0173,2,61,537000
3,3,47700,763,6300,0.1384,0,58,786000
2,1,50800,654,3100,0.061,2,45,330000
3,1,44000,781,4900,0.1114,1,29,578000
4,0,33100,697,2100,0.0634,2,56,668000
0,0,78800,781,4200,0.0533,1,62,546000
3,3,72400,708,6300,0.0925,2,52,468000
0,0,44200,745,2600,0.0588,2,29,743000
4,1,36200,657,4600,0.1271,1,53,145000
0,4,50500,728,6300,0.1465,2,39,806000
3,4,78200,677,3300,0.0421999999999999,1,23,490000
0,4,42100,715,0,0.0,0,23,737000
2,3,64300,726,3300,0.0513,2,30,995000
2,5,31700,687,500,0.0158,2,39,586000
0,1,53500,617,2600,0.0486,1,27,995000
1,5,72400,755,300,0.0040999999999999,0,38,272000
4,2,33200,622,800,0.0241,2,41,458000
1,3,83900,659,3500,0.0417,1,30,580000
0,2,56000,662,3000,0.0536,0,27,995000
4,2,39600,781,3900,0.0984999999999999,1,50,392000
1,3,49400,639,4400,0.0891,1,24,979000
1,0,16300,695,1500,0.092,0,39,132000
1,3,69200,670,6100,0.0882,1,23,154000
1,0,28600,693,4400,0.1538,2,58,655000
0,5,11500,706,2100,0.1826,0,59,787000
3,5,43200,617,200,0.0046,2,31,699000
3,0,62700,704,200,0.0032,1,54,648000
4,5,39200,671,1100,0.0281,2,32,100000
0,2,63400,667,6300,0.0993999999999999,2,57,351000
2,2,21200,740,1500,0.0708,2,44,118000
1,5,58800,747,3700,0.0629,0,58,547000
3,0,43800,656,2900,0.0662,0,51,995000
1,5,54500,772,1300,0.0239,2,28,462000
2,1,42400,693,800,0.0189,0,35,778000
3,2,52600,620,2800,0.0532,1,30,518000
1,5,29100,663,6300,0.2887,0,31,282000
3,2,12100,781,3500,0.2893,0,25,285000
3,3,10000,670,0,0.0,0,51,653000
0,4,18000,670,2100,0.1167,2,43,653000
4,4,10000,768,5600,0.56,2,63,462000
0,1,58400,694,3400,0.0582,1,40,995000
0,1,66100,658,2100,0.0318,2,46,499000
0,1,91100,640,4200,0.0399,0,30,325000
0,1,71200,673,6300,0.0926999999999999,0,33,399000
3,2,20800,736,3800,0.1827,0,51,100000
2,1,66100,711,2300,0.0348,2,28,475000
2,1,91100,738,2300,0.0174,2,43,917000
3,0,46800,697,0,0.0,1,46,509000
3,2,75300,627,5800,0.077,1,44,585000
2,1,30700,709,5600,0.1823999999999999,1,40,321000
4,0,66600,668,2000,0.03,0,29,995000
4,5,32100,781,600,0.0187,2,38,148000
4,1,57900,656,3700,0.0639,2,25,910000
2,3,53800,707,5700,0.1059,2,23,259000
4,3,91100,781,1200,0.0131,1,29,630000
3,4,28200,646,0,0.0,0,34,418000
1,2,52800,721,2400,0.0455,1,28,257000
3,4,79200,710,0,0.0,0,33,271000
0,3,58100,689,1700,0.0293,1,52,380000
0,2,45000,705,1600,0.0356,0,37,222000
4,4,46800,765,900,0.0192,0,48,586000
3,5,52600,675,0,0.0,0,40,249000
4,3,91100,713,900,0.0089,2,35,100000
1,4,91100,696,5300,0.0576,2,45,212000
1,2,44400,761,1500,0.0338,1,58,575000
4,2,77400,682,6300,0.0878999999999999,1,23,258000
3,4,69900,752,4900,0.0701,2,45,230000
1,2,63200,653,2000,0.0316,1,25,642000
0,5,60300,751,2000,0.0332,0,25,995000
1,5,84800,655,4500,0.0530999999999999,0,60,623000
0,1,77000,630,2300,0.0299,0,48,620000
0,1,60300,669,2900,0.0481,0,50,139000
1,2,75300,702,5300,0.0704,2,45,347000
2,3,42700,682,5600,0.1311,2,50,484000
3,2,10000,688,3900,0.39,0,36,725000
1,2,40900,660,6300,0.154,0,48,741000
1,2,20100,652,0,0.0,2,23,341000
3,4,39600,638,2900,0.0732,1,58,369000
3,3,39200,636,2100,0.0536,0,53,509000
0,5,45400,724,2700,0.0595,0,45,260000
3,5,84300,748,5500,0.0652,1,33,400000
4,1,21900,753,3700,0.1689,0,33,869000
3,4,34800,678,2300,0.0661,2,62,715000
4,2,23600,676,6300,0.2839,2,35,995000
4,2,79600,712,0,0.0,2,63,650000
0,4,49300,779,0,0.0,2,31,393000
0,0,53200,765,3700,0.0695,1,27,431000
1,3,52600,759,4700,0.0894,0,36,260000
4,2,60000,629,3400,0.0567,2,27,663000
4,3,27200,720,1000,0.0368,0,63,326000
3,5,33300,760,3800,0.1141,2,44,489000
3,2,46400,741,6300,0.1573,1,32,240000
2,2,39600,702,5100,0.1288,2,32,340000
4,0,37700,695,1600,0.0424,1,23,622000
3,2,26500,680,1600,0.0604,1,56,733000
1,4,40200,718,3300,0.0821,2,45,554000
4,2,30400,736,4200,0.1382,0,54,802000
3,0,84400,709,3300,0.0391,1,61,995000
4,3,31800,710,2000,0.0629,1,53,744000
4,1,76200,770,2700,0.0354,2,54,292000
0,5,40000,627,4900,0.1225,0,55,995000
0,5,55700,740,0,0.0,2,26,409000
